UserID,Explanation Coherence,Diversity
1356810,0.15372571023088444,0.8810333147077856
1164877,0.10855823664261602,0.9384756634256717
1211463,0.12866794235527965,0.8845550243417525
1076348,0.08322666809146387,0.956025988226052
1126910,0.13607622408571576,0.8877476833333598
1132934,0.11557847077769605,0.9294138007252233
1009268,0.0999886448240742,0.918815980184294
1089224,0.14863501502066864,0.8730540743369237
1122503,0.1607200202867392,0.8911483689395734
1124584,0.16486196381764343,0.8770293155937241
1248668,0.17428411098944674,0.8235014573375667
1000096,0.14057289205624243,0.8760922803101253
1004834,0.1713008621148847,0.8264095458229868
1011730,0.1604401768490866,0.8790946949214288
1006025,0.11204104700058867,0.9316182087605861
1188648,0.17959155863097084,0.8280057772652277
1003660,0.1951366249173107,0.8367043625575729
1022324,0.11278502232051472,0.9175117501280652
1009872,0.17193867008631847,0.8065857589615826
1254601,0.10824630951577865,0.9315710641892982
1118460,0.17149529100599867,0.8488315177494615
1221502,0.1693105806820515,0.8486288834290941
1137887,0.17159697559206052,0.8475313969659435
1194241,0.2061177124161182,0.7835132132340407
1055469,0.20607990778802307,0.766636275733596
1002048,0.1366470498722407,0.8875406664867
1030482,0.11736496822595761,0.9117573458830944
1209403,0.13559934530244294,0.9036909406127913
1019334,0.20563531096317272,0.7904020222076588
1213290,0.14179061829881956,0.899052700167581
1014542,0.12587239280431656,0.908863907348555
1160536,0.12105119963488373,0.9233206786331054
1210126,0.16064724290822355,0.8476364250353718
1213735,0.0,0.0
1225911,0.15436881041111516,0.8933951691686024
1198269,0.13063196765291704,0.9230072017763011
1218766,0.12130391013761863,0.9060498359427932
1207365,0.20017486398743597,0.8249554459375288
1150676,0.13401891206996963,0.8995054164764262
1000135,0.2,1.0
1156960,0.18245663416069383,0.8185081020780727
1121579,0.18989604400236682,0.8169821675968283
1355769,0.13696867999153936,0.8988209498443777
1000193,0.12584379480683944,0.9361806972877019
1194059,0.13044553461127154,0.9155551760567938
1188903,0.14565826576523938,0.9030307048232895
1182744,0.16351284561540746,0.8601683914849374
1182536,0.12511391240051228,0.904118534869892
1221377,0.14256684761095778,0.9165334856096901
1224274,0.0,0.0
1009945,0.17599975905408,0.8084382666664429
1019668,0.1504047697754501,0.8652517954815238
1164908,0.1714941875369237,0.8404998482364064
1265282,0.14857466322909285,0.8713923084489198
1174232,0.11765076756990472,0.9178436910271982
1000219,0.15740367108801348,0.8704487923000608
1174676,0.13179906532848526,0.9333650335109507
1243367,0.1711346460807927,0.8690739082856822
1167667,0.10779610371792113,0.9387245670080959
1075760,0.17179522667570585,0.8414181058191199
1184797,0.19123547350599626,0.8567752345972635
1057145,0.10502357781314588,0.9522910248059736
1234112,0.21466598170311083,0.780267122278353
1101933,0.11068685551191024,0.9339529730269521
1029826,0.13617181129074196,0.8949588150094375
1083931,0.13407308287699857,0.890899305211011
1008899,0.09630264271148861,0.9357005487704323
1194711,0.10994241689245565,0.9405735723960491
1103303,0.1387494425973039,0.8817349805711157
1119114,0.17170779596000546,0.8552604728804367
1004495,0.21799392139529739,0.779514974978028
1163123,0.12439285506980986,0.9195868913966069
